address,communityId
ETHMAINBLOCK,8911
0x0000000000000000000000000000000000000000,3426
0x3282791d6fd713f1e94f4bfd565eaa78b3a0599d,2
0x17961d633bcf20a7b029a7d94b7df4da2ec5427f,3
0x493a67fe23decc63b10dda75f3287695a81bd5ab,4
0x01fb8ec12425a04f813e46c54c05748ca6b29aa9,5
0xd2a030ac8952325f9e1db378a71485a24e1b07b2,6
0x77a34907f305a54c85db09c363fde3c47e6ae21f,7
0x391a77405c09a72b5e8436237aaaf95d68da1709,8
0x00aada25ea2286709abb422d41923fd380cd04c7,9
0xacc46a2a555c74ded4a2bd094e821b97843b40c0,10
0xde07fb5b7a464e3ba7fbe09e9acb271af5338c58,11
0x4c696be99f3a690440c3436a59a7d7e937d6ba0d,12
0xfa33553285a973719a0d5f956ff861b2d89ed304,13
0x67cfda6e70bf7657d39059b59790e5145afdbe61,14
0xa321091d3018064279db399d2b2a88a6f440ae24,15
0xfb3fa1ac08aba9cc3bf0fe9d483820688f65b410,16
0x6715c14035fb57bb3d667f7b707498c41074b855,17
0xd4344f7d5cad65d17e5c2d0e7323943d6f62fe92,18
0xa3294626ec2984c43b43da4d5d8e4669b11d4b59,19
0x656018584130db83ab0591a8128d9381666a8d0e,20
0x0fa010ce0c731d3b628e36b91f571300e49dbeab,21
0x3098b65db93ecacaf7353c48808390a223d57684,22
0xae635bf73831119d2d29c0d04ff8f8d8d0a57a46,23
0x0f7515ff0e808f695e0c20485ff96ed2f7b79310,24
0x8b30c04098d7a7e6420c357ea7bfa49bac9a8a18,25
0x64dba2d6615b8bd7571836dc75bc79d314f5ecee,26
0xe7912d4cf4562c573ddc5b71e37310e378ef86c9,27
0xa4da34450d22ec0ffcede0004b02f7872ee0b73a,28
0x34437d1465640b136cb5841c3f934f9ba0b7097d,29
0xc652871d192422c6bc235fa063b44a7e1d43e385,30
0xa8a708e84f82db86a35502193b4c6ee9a76ebe8f,31
0x5c3f567faff7bad1b5120022e8cbcaa82b4917b3,32
0xdbc1d0ee2bab531140de137722cd36bdb4e47194,33
0xf59dab1bf8df11327e61f9b7a14b563a96ec3554,34
0x456f8d746682b224679349064d1b368c7c05b176,35
0x5f13154631466dcb1353c890932a7c97e0878e90,36
0xf4b1626e24f30bcad9273c527fcc714b5d007b8f,37
0xa8db0b9b201453333c757f6ad9bcb555c02da93b,38
0xa0fc7e53c5ebd27a2abdac45261f84ab3b51aefb,39
0x1b636b7a496f044d7359596e353a104616436f6b,40
0x74bce9ec38362d6c94ccac26d5c0e13a8b3b1d40,41
0x9834682180b982d166badb9d9d1d9bbf016d87ee,42
0x1e6e0153fc161bc05e656bbb144c7187bf4fe84d,43
0x989c0ccff654da03aeb11af701054561d6297e1d,44
0x78a1e254409fb1b55a7cb4dd8eba3b30c8bad9ef,45
0x9ef1896b007c32a15114fb89d73dbd47f9122b69,46
0x33320dd90f2baa110dd334872a998f148426453c,47
0xe72e1d335cc29a96b9b1c02f003a16d971e90b9d,48
0x0921605f99164e3bcc28f31caece78973182561d,49
0xfc00a420a36107dfd5f495128a5fe5abb2db0f34,50
0xdfcbdf09454e1a5e4a40d3eef7c5cf1cd3de9486,51
0x646e043d0597a664948fbb0dc15475a3a4f3a6ed,52
0x79aeb34566b974c35a5881dec020927da7df5d25,53
0xdbadc61ed5f0460a7f18e51b2fb2614d9264a0e0,54
0x97b91efe7350c2d57e7e406bab18f3617bcde14a,55
0x8398e07ebcb4f75ff2116de77c1c2a99f303a4cf,56
0xf02796295101674288c1d93467053d042219b794,57
0xf4ed848ec961739c2c7e352f435ba70a7cd5db38,58
0x82485728d0e281563758c75ab27ed9e882a0002d,59
0x427ec668ac9404e895cc861511d1620a4912be98,60
0x1bbc199e586790be87afedc849c04726745c5d7b,61
0x10d945334ecde47beb9ca3816c173dfbbd0b5333,62
0x1dcebcb7656df5dcaa3368a055d22f9ed6cdd940,63
0x2ac1f8d7bf721f3cfe74d20fea9b87a28aaa982c,64
0x0a47ad9059a249fc936b2662353da6905f75c2b9,65
0x768498934e37e905f1d0e77b44b574bcf3ec4ae8,66
0xf46b6b9c7cb552829c1d3dfd8ffb11aabae782f6,67
0x7aea25d42b2612286e99c53697c6bc4100e2dbbf,68
0xaf3615c789d0b1152ad4db25fe5dcf222804cf62,69
0x92e6581e1da1f9b846e09347333dc818e2d2ac66,70
0x240305727313d01e73542c775ff59d11cd35f819,71
