account1,account2,similarity
ETHMAINBLOCK,ETHMAINUNCLE,0.5034770514603616
ETHMAINUNCLE,ETHMAINBLOCK,0.5034770514603616
0x0000000000000000000000000000000000000000,ETHMAINBLOCK,0.0009372071227741331
ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0.0009372071227741331
0x0000000000000000000000000000000000000000,ETHMAINUNCLE,0.00032425421530479895
ETHMAINUNCLE,0x0000000000000000000000000000000000000000,0.00032425421530479895
