index,sourceNodeName,targetNodeName,totalCost,nodeNames,costs,path
2011,ETHMAINBLOCK,0xa8ee1df5d44b128469e913569ef6ac81eeda4fc8,505.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xa8ee1df5d44b128469e913569ef6ac81eeda4fc8]","[0.0,5.0,505.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2011,""address"":0xa8ee1df5d44b128469e913569ef6ac81eeda4fc8}]"
2012,ETHMAINBLOCK,0x35bd246865fab490ac087ac1f1d4f2c10d0cda03,405.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x35bd246865fab490ac087ac1f1d4f2c10d0cda03]","[0.0,5.0,405.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2012,""address"":0x35bd246865fab490ac087ac1f1d4f2c10d0cda03}]"
2013,ETHMAINBLOCK,0x4bf8bf1d35a231315764fc8001809a949294fc49,71.85,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x4bf8bf1d35a231315764fc8001809a949294fc49]","[0.0,5.0,71.85]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2013,""address"":0x4bf8bf1d35a231315764fc8001809a949294fc49}]"
2014,ETHMAINBLOCK,0xc70fa45576bf9c865f983893002c414926f61029,405.4,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xc70fa45576bf9c865f983893002c414926f61029]","[0.0,5.0,405.4]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2014,""address"":0xc70fa45576bf9c865f983893002c414926f61029}]"
2015,ETHMAINBLOCK,0xfdeaac2acf1d138e19f2fc3f9fb74592e3ed818a,673.5,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xfdeaac2acf1d138e19f2fc3f9fb74592e3ed818a]","[0.0,5.0,673.5]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2015,""address"":0xfdeaac2acf1d138e19f2fc3f9fb74592e3ed818a}]"
2016,ETHMAINBLOCK,0xbfbfbcb656c2992be8fcde8219fbc54aadd59f29,10004.924,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xbfbfbcb656c2992be8fcde8219fbc54aadd59f29]","[0.0,5.0,10004.924]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2016,""address"":0xbfbfbcb656c2992be8fcde8219fbc54aadd59f29}]"
2017,ETHMAINBLOCK,0x1722c4cbe70a94b6559d425084caeed4d6e66e21,4005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x1722c4cbe70a94b6559d425084caeed4d6e66e21]","[0.0,5.0,4005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2017,""address"":0x1722c4cbe70a94b6559d425084caeed4d6e66e21}]"
2018,ETHMAINBLOCK,0x00e681bc2d10db62de85848324492250348e90bf,20005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x00e681bc2d10db62de85848324492250348e90bf]","[0.0,5.0,20005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2018,""address"":0x00e681bc2d10db62de85848324492250348e90bf}]"
2019,ETHMAINBLOCK,0x5c308bac4857d33baea074f3956d3621d9fa28e1,5004.711,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x5c308bac4857d33baea074f3956d3621d9fa28e1]","[0.0,5.0,5004.711]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2019,""address"":0x5c308bac4857d33baea074f3956d3621d9fa28e1}]"
2020,ETHMAINBLOCK,0x68c08490c89bf0d6b6f320b1aca95c8312c00608,4005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x68c08490c89bf0d6b6f320b1aca95c8312c00608]","[0.0,5.0,4005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2020,""address"":0x68c08490c89bf0d6b6f320b1aca95c8312c00608}]"
2021,ETHMAINBLOCK,0xce1884ddbbb8e10e4dba6e44feeec2a7e5f92f05,4005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xce1884ddbbb8e10e4dba6e44feeec2a7e5f92f05]","[0.0,5.0,4005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2021,""address"":0xce1884ddbbb8e10e4dba6e44feeec2a7e5f92f05}]"
2022,ETHMAINBLOCK,0x427417bd16b1b3d22dbb902d8f9657016f24a61c,2005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x427417bd16b1b3d22dbb902d8f9657016f24a61c]","[0.0,5.0,2005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2022,""address"":0x427417bd16b1b3d22dbb902d8f9657016f24a61c}]"
2023,ETHMAINBLOCK,0x5ff93de6ee054cad459b2d5eb0f6870389dfcb74,225.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x5ff93de6ee054cad459b2d5eb0f6870389dfcb74]","[0.0,5.0,225.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2023,""address"":0x5ff93de6ee054cad459b2d5eb0f6870389dfcb74}]"
2024,ETHMAINBLOCK,0x71946b7117fc915ed107385f42d99ddac63249c2,2005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x71946b7117fc915ed107385f42d99ddac63249c2]","[0.0,5.0,2005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2024,""address"":0x71946b7117fc915ed107385f42d99ddac63249c2}]"
2025,ETHMAINBLOCK,0x11ec00f849b6319cf51aa8dd8f66b35529c0be77,2005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x11ec00f849b6319cf51aa8dd8f66b35529c0be77]","[0.0,5.0,2005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2025,""address"":0x11ec00f849b6319cf51aa8dd8f66b35529c0be77}]"
2026,ETHMAINBLOCK,0x610fd6ee4eebab10a8c55d0b4bd2e7d6ef817156,25.002,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x610fd6ee4eebab10a8c55d0b4bd2e7d6ef817156]","[0.0,5.0,25.002]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2026,""address"":0x610fd6ee4eebab10a8c55d0b4bd2e7d6ef817156}]"
2027,ETHMAINBLOCK,0xa422e4bf0bf74147cc895bed8f16d3cef3426154,354.281,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xa422e4bf0bf74147cc895bed8f16d3cef3426154]","[0.0,5.0,354.281]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2027,""address"":0xa422e4bf0bf74147cc895bed8f16d3cef3426154}]"
2028,ETHMAINBLOCK,0x745aecbaf9bb39b74a67ea1ce623de368481baa6,10005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x745aecbaf9bb39b74a67ea1ce623de368481baa6]","[0.0,5.0,10005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2028,""address"":0x745aecbaf9bb39b74a67ea1ce623de368481baa6}]"
2029,ETHMAINBLOCK,0x9f496cb2069563144d0811677ba0e4713a0a4143,1127.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x9f496cb2069563144d0811677ba0e4713a0a4143]","[0.0,5.0,1127.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2029,""address"":0x9f496cb2069563144d0811677ba0e4713a0a4143}]"
2030,ETHMAINBLOCK,0xc500b720734ed22938d78c5e48b2ba9367a575ba,33405.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xc500b720734ed22938d78c5e48b2ba9367a575ba]","[0.0,5.0,33405.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2030,""address"":0xc500b720734ed22938d78c5e48b2ba9367a575ba}]"
2031,ETHMAINBLOCK,0xcd072e6e1833137995196d7bb1725fef8761f655,6005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xcd072e6e1833137995196d7bb1725fef8761f655]","[0.0,5.0,6005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2031,""address"":0xcd072e6e1833137995196d7bb1725fef8761f655}]"
2032,ETHMAINBLOCK,0x94644ad116a41ce2ca7fbec609bdef738a2ac7c7,5005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x94644ad116a41ce2ca7fbec609bdef738a2ac7c7]","[0.0,5.0,5005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2032,""address"":0x94644ad116a41ce2ca7fbec609bdef738a2ac7c7}]"
2033,ETHMAINBLOCK,0xe8d942d82f175ecb1c16a405b10143b3f46b963a,573.6,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xe8d942d82f175ecb1c16a405b10143b3f46b963a]","[0.0,5.0,573.6]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2033,""address"":0xe8d942d82f175ecb1c16a405b10143b3f46b963a}]"
2034,ETHMAINBLOCK,0xf73dd9c142b71bce11d06e30e7e7d032f2ec9c9e,1975.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xf73dd9c142b71bce11d06e30e7e7d032f2ec9c9e]","[0.0,5.0,1975.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2034,""address"":0xf73dd9c142b71bce11d06e30e7e7d032f2ec9c9e}]"
2035,ETHMAINBLOCK,0x1327d759d56e0ab87af37ecf63fe01f310be100a,664.2,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x1327d759d56e0ab87af37ecf63fe01f310be100a]","[0.0,5.0,664.2]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2035,""address"":0x1327d759d56e0ab87af37ecf63fe01f310be100a}]"
2036,ETHMAINBLOCK,0x28fa2580f9ebe420f3e5eefdd371638e3b7af499,6005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x28fa2580f9ebe420f3e5eefdd371638e3b7af499]","[0.0,5.0,6005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2036,""address"":0x28fa2580f9ebe420f3e5eefdd371638e3b7af499}]"
2037,ETHMAINBLOCK,0x024bdd2c7bfd500ee7404f7fb3e9fb31dd20fbd1,185.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x024bdd2c7bfd500ee7404f7fb3e9fb31dd20fbd1]","[0.0,5.0,185.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2037,""address"":0x024bdd2c7bfd500ee7404f7fb3e9fb31dd20fbd1}]"
2038,ETHMAINBLOCK,0xb4b14bf45455d0ab0803358b7524a72be1a2045b,505.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xb4b14bf45455d0ab0803358b7524a72be1a2045b]","[0.0,5.0,505.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2038,""address"":0xb4b14bf45455d0ab0803358b7524a72be1a2045b}]"
2039,ETHMAINBLOCK,0xb1e2dd95e39ae9775c55aeb13f12c2fa233053ba,2005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xb1e2dd95e39ae9775c55aeb13f12c2fa233053ba]","[0.0,5.0,2005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2039,""address"":0xb1e2dd95e39ae9775c55aeb13f12c2fa233053ba}]"
2040,ETHMAINBLOCK,0x35b03ea4245736f57b85d2eb79628f036ddcd705,4005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x35b03ea4245736f57b85d2eb79628f036ddcd705]","[0.0,5.0,4005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2040,""address"":0x35b03ea4245736f57b85d2eb79628f036ddcd705}]"
2041,ETHMAINBLOCK,0xeb2ef3d38fe652403cd4c9d85ed7f0682cd7c2de,42789.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xeb2ef3d38fe652403cd4c9d85ed7f0682cd7c2de]","[0.0,5.0,42789.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2041,""address"":0xeb2ef3d38fe652403cd4c9d85ed7f0682cd7c2de}]"
2042,ETHMAINBLOCK,0x690594d306613cd3e2fd24bca9994ad98a3d73f8,2005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x690594d306613cd3e2fd24bca9994ad98a3d73f8]","[0.0,5.0,2005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2042,""address"":0x690594d306613cd3e2fd24bca9994ad98a3d73f8}]"
2043,ETHMAINBLOCK,0x8397a1bc47acd647418159b99cea57e1e6532d6e,9174.16,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x8397a1bc47acd647418159b99cea57e1e6532d6e]","[0.0,5.0,9174.16]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2043,""address"":0x8397a1bc47acd647418159b99cea57e1e6532d6e}]"
2044,ETHMAINBLOCK,0xb44815a0f28e569d0e921a4ade8fb2642526497a,60.5,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xb44815a0f28e569d0e921a4ade8fb2642526497a]","[0.0,5.0,60.5]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2044,""address"":0xb44815a0f28e569d0e921a4ade8fb2642526497a}]"
2045,ETHMAINBLOCK,0xe24109be2f513d87498e926a286499754f9ed49e,891.5,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xe24109be2f513d87498e926a286499754f9ed49e]","[0.0,5.0,891.5]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2045,""address"":0xe24109be2f513d87498e926a286499754f9ed49e}]"
2046,ETHMAINBLOCK,0x37ac29bda93f497bc4aeaab935452c431510341e,990.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x37ac29bda93f497bc4aeaab935452c431510341e]","[0.0,5.0,990.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2046,""address"":0x37ac29bda93f497bc4aeaab935452c431510341e}]"
2047,ETHMAINBLOCK,0x4a81abe4984c7c6bef63d69820e55743c61f201c,16016.846,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x4a81abe4984c7c6bef63d69820e55743c61f201c]","[0.0,5.0,16016.846]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2047,""address"":0x4a81abe4984c7c6bef63d69820e55743c61f201c}]"
2048,ETHMAINBLOCK,0x66dcc5fb4ee7fee046e141819aa968799d644491,1342.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x66dcc5fb4ee7fee046e141819aa968799d644491]","[0.0,5.0,1342.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2048,""address"":0x66dcc5fb4ee7fee046e141819aa968799d644491}]"
2049,ETHMAINBLOCK,0x43ff38743ed0cd43308c066509cc8e7e72c862aa,1945.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x43ff38743ed0cd43308c066509cc8e7e72c862aa]","[0.0,5.0,1945.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2049,""address"":0x43ff38743ed0cd43308c066509cc8e7e72c862aa}]"
2050,ETHMAINBLOCK,0xb8f20005b61352ffa7699a1b52f01f5ab39167f1,10005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xb8f20005b61352ffa7699a1b52f01f5ab39167f1]","[0.0,5.0,10005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2050,""address"":0xb8f20005b61352ffa7699a1b52f01f5ab39167f1}]"
2051,ETHMAINBLOCK,0x1cda411bd5163baeca1e558563601ce720e24ee1,23.2,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x1cda411bd5163baeca1e558563601ce720e24ee1]","[0.0,5.0,23.2]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2051,""address"":0x1cda411bd5163baeca1e558563601ce720e24ee1}]"
2052,ETHMAINBLOCK,0x86245f596691093ece3f3d3ca2263eace81941d9,193.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x86245f596691093ece3f3d3ca2263eace81941d9]","[0.0,5.0,193.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":2052,""address"":0x86245f596691093ece3f3d3ca2263eace81941d9}]"
